timestamp,ticker,open,high,low,close,volume
2024-01-01 09:00:00,EURUSD,100.50,101.20,100.10,100.80,15000
2024-01-01 09:01:00,EURUSD,100.80,101.50,100.70,101.30,18000
2024-01-01 09:02:00,EURUSD,101.30,101.80,101.00,101.50,22000
2024-01-01 09:03:00,EURUSD,101.50,102.00,101.20,101.90,25000
2024-01-01 09:04:00,EURUSD,101.90,102.50,101.80,102.30,30000
2024-01-01 09:05:00,EURUSD,102.30,102.80,102.00,102.50,28000
2024-01-01 09:06:00,EURUSD,102.50,102.90,102.20,102.40,26000
2024-01-01 09:07:00,EURUSD,102.40,102.60,101.90,102.00,24000
2024-01-01 09:08:00,EURUSD,102.00,102.30,101.50,101.80,20000
2024-01-01 09:09:00,EURUSD,101.80,102.00,101.30,101.50,18000
2024-01-01 09:10:00,EURUSD,101.50,101.90,101.20,101.70,21000
2024-01-01 09:11:00,EURUSD,101.70,102.20,101.60,102.10,23000
2024-01-01 09:12:00,EURUSD,102.10,102.40,101.80,101.95,19000
2024-01-01 09:13:00,EURUSD,101.95,102.30,101.70,102.15,22000
2024-01-01 09:14:00,EURUSD,102.15,102.70,102.00,102.55,27000
2024-01-01 09:15:00,EURUSD,102.55,103.00,102.40,102.85,31000
2024-01-01 09:16:00,EURUSD,102.85,103.20,102.60,102.75,29000
2024-01-01 09:17:00,EURUSD,102.75,103.00,102.50,102.90,26000
2024-01-01 09:18:00,EURUSD,102.90,103.30,102.80,103.20,33000
2024-01-01 09:19:00,EURUSD,103.20,103.50,103.00,103.15,28000
2024-01-01 09:20:00,EURUSD,103.15,103.40,102.90,103.05,25000
2024-01-01 09:21:00,EURUSD,103.05,103.25,102.80,102.95,23000
2024-01-01 09:22:00,EURUSD,102.95,103.20,102.70,103.00,24000
2024-01-01 09:23:00,EURUSD,103.00,103.45,102.90,103.30,27000
2024-01-01 09:24:00,EURUSD,103.30,103.60,103.10,103.25,26000
2024-01-01 09:25:00,EURUSD,103.25,103.55,103.05,103.40,25000
2024-01-01 09:26:00,EURUSD,103.40,103.75,103.20,103.60,27000
2024-01-01 09:27:00,EURUSD,103.60,103.85,103.35,103.50,24000
2024-01-01 09:28:00,EURUSD,103.50,103.70,103.25,103.45,23000
2024-01-01 09:29:00,EURUSD,103.45,103.80,103.30,103.70,29000
2024-01-01 09:30:00,EURUSD,103.70,104.00,103.55,103.85,31000
2024-01-01 09:31:00,EURUSD,103.85,104.10,103.65,103.90,28000
2024-01-01 09:32:00,EURUSD,103.90,104.20,103.75,104.05,26000
2024-01-01 09:33:00,EURUSD,104.05,104.30,103.90,104.15,25000
2024-01-01 09:34:00,EURUSD,104.15,104.45,104.00,104.30,28000
2024-01-01 09:35:00,EURUSD,104.30,104.55,104.10,104.25,27000
2024-01-01 09:36:00,EURUSD,104.25,104.50,104.05,104.35,26000
2024-01-01 09:37:00,EURUSD,104.35,104.60,104.20,104.45,25000
2024-01-01 09:38:00,EURUSD,104.45,104.70,104.30,104.55,27000
2024-01-01 09:39:00,EURUSD,104.55,104.80,104.35,104.65,29000
2024-01-01 09:40:00,EURUSD,104.65,104.90,104.50,104.75,30000
2024-01-01 09:41:00,EURUSD,104.75,105.00,104.60,104.85,28000
2024-01-01 09:42:00,EURUSD,104.85,105.10,104.70,104.95,27000
2024-01-01 09:43:00,EURUSD,104.95,105.20,104.80,105.05,26000
2024-01-01 09:44:00,EURUSD,105.05,105.30,104.90,105.15,28000
2024-01-01 09:45:00,EURUSD,105.15,105.40,105.00,105.25,29000
2024-01-01 09:46:00,EURUSD,105.25,105.50,105.10,105.35,27000
2024-01-01 09:47:00,EURUSD,105.35,105.60,105.20,105.45,26000
2024-01-01 09:48:00,EURUSD,105.45,105.70,105.30,105.55,25000
2024-01-01 09:49:00,EURUSD,105.55,105.80,105.40,105.65,24000
