index,timestamp,ticker,side,open,high,low,close,volume
0,2024-01-01 09:00:00,EURUSD,buy,100.50,101.20,100.10,100.80,15000
1,2024-01-01 09:01:00,EURUSD,buy,100.80,101.50,100.70,101.30,18000
2,2024-01-01 09:02:00,EURUSD,sell,101.30,101.80,101.00,101.50,22000
3,2024-01-01 09:03:00,EURUSD,buy,101.50,102.00,101.20,101.90,25000
4,2024-01-01 09:04:00,EURUSD,buy,101.90,102.50,101.80,102.30,30000
5,2024-01-01 09:05:00,EURUSD,sell,102.30,102.80,102.00,102.50,28000
6,2024-01-01 09:06:00,EURUSD,sell,102.50,102.90,102.20,102.40,26000
7,2024-01-01 09:07:00,EURUSD,buy,102.40,102.60,101.90,102.00,24000
8,2024-01-01 09:08:00,EURUSD,sell,102.00,102.30,101.50,101.80,20000
9,2024-01-01 09:09:00,EURUSD,buy,101.80,102.00,101.30,101.50,18000
10,2024-01-01 09:10:00,EURUSD,buy,101.50,101.90,101.20,101.70,21000
11,2024-01-01 09:11:00,EURUSD,sell,101.70,102.20,101.60,102.10,23000
12,2024-01-01 09:12:00,EURUSD,sell,102.10,102.40,101.80,101.95,19000
13,2024-01-01 09:13:00,EURUSD,buy,101.95,102.30,101.70,102.15,22000
14,2024-01-01 09:14:00,EURUSD,buy,102.15,102.70,102.00,102.55,27000
15,2024-01-01 09:15:00,EURUSD,buy,102.55,103.00,102.40,102.85,31000
16,2024-01-01 09:16:00,EURUSD,sell,102.85,103.20,102.60,102.75,29000
17,2024-01-01 09:17:00,EURUSD,buy,102.75,103.00,102.50,102.90,26000
18,2024-01-01 09:18:00,EURUSD,buy,102.90,103.30,102.80,103.20,33000
19,2024-01-01 09:19:00,EURUSD,sell,103.20,103.50,103.00,103.15,28000
20,2024-01-01 09:20:00,EURUSD,sell,103.15,103.40,102.90,103.05,25000
21,2024-01-01 09:21:00,EURUSD,sell,103.05,103.25,102.80,102.95,23000
22,2024-01-01 09:22:00,EURUSD,buy,102.95,103.20,102.70,103.00,24000
23,2024-01-01 09:23:00,EURUSD,buy,103.00,103.45,102.90,103.30,27000
24,2024-01-01 09:24:00,EURUSD,sell,103.30,103.60,103.10,103.25,26000
25,2024-01-01 09:25:00,GBPUSD,buy,150.20,150.80,150.00,150.60,20000
26,2024-01-01 09:26:00,GBPUSD,buy,150.60,151.00,150.40,150.85,22000
27,2024-01-01 09:27:00,GBPUSD,sell,150.85,151.20,150.70,150.95,24000
28,2024-01-01 09:28:00,GBPUSD,buy,150.95,151.40,150.80,151.25,26000
29,2024-01-01 09:29:00,GBPUSD,buy,151.25,151.70,151.10,151.55,29000
30,2024-01-01 09:30:00,GBPUSD,sell,151.55,151.90,151.30,151.45,27000
31,2024-01-01 09:31:00,GBPUSD,sell,151.45,151.75,151.20,151.35,25000
32,2024-01-01 09:32:00,GBPUSD,sell,151.35,151.60,151.00,151.20,23000
33,2024-01-01 09:33:00,GBPUSD,buy,151.20,151.50,150.90,151.30,24000
34,2024-01-01 09:34:00,GBPUSD,buy,151.30,151.80,151.20,151.65,28000
35,2024-01-01 09:35:00,GBPUSD,buy,151.65,152.10,151.50,151.95,31000
36,2024-01-01 09:36:00,GBPUSD,buy,151.95,152.30,151.80,152.15,30000
37,2024-01-01 09:37:00,GBPUSD,sell,152.15,152.40,151.90,152.05,28000
38,2024-01-01 09:38:00,GBPUSD,buy,152.05,152.35,151.85,152.20,29000
39,2024-01-01 09:39:00,GBPUSD,buy,152.20,152.60,152.00,152.45,32000
40,2024-01-01 09:40:00,GBPUSD,sell,152.45,152.80,152.30,152.55,30000
41,2024-01-01 09:41:00,GBPUSD,sell,152.55,152.75,152.25,152.40,27000
42,2024-01-01 09:42:00,GBPUSD,buy,152.40,152.70,152.15,152.50,28000
43,2024-01-01 09:43:00,GBPUSD,buy,152.50,152.90,152.35,152.75,31000
44,2024-01-01 09:44:00,GBPUSD,buy,152.75,153.10,152.60,152.95,33000
45,2024-01-01 09:45:00,GBPUSD,sell,152.95,153.25,152.80,153.05,31000
46,2024-01-01 09:46:00,GBPUSD,buy,153.05,153.30,152.85,153.15,29000
47,2024-01-01 09:47:00,GBPUSD,buy,153.15,153.45,153.00,153.30,30000
48,2024-01-01 09:48:00,GBPUSD,sell,153.30,153.60,153.15,153.25,28000
49,2024-01-01 09:49:00,GBPUSD,sell,153.25,153.50,153.00,153.20,27000
